Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.859,0.672,0.846,0.809,0.706,0.843,0.857,0.793
ARGO,,,0.869,0.71,0.877,0.843,0.795,0.856,0.866,0.819
ARGO_top10,,,0.882,0.731,0.904,0.858,0.8,0.868,0.881,0.839
ARGO_all_weighted1,,,0.883,0.698,0.876,0.741,0.771,0.853,0.879,0.819
ARGO_all_weighted2,,,0.886,0.779,0.908,0.864,0.791,0.88,0.898,0.858
ARGO_all_weighted_more_ar,,,0.896,0.755,0.9,0.814,0.808,0.882,0.901,0.851
ARGO_top10_weighted1,,,0.892,0.69,0.9,0.76,0.793,0.863,0.891,0.827
ARGO_top10_weighted2,,,0.885,0.766,0.908,0.871,0.791,0.879,0.896,0.853
ARGO_top10_weighted_more_ar,,,0.902,0.753,0.9,0.824,0.808,0.885,0.903,0.852
ARGO_obs_weight,,,0.857,0.721,0.875,0.836,0.796,0.85,0.858,0.818
ARGO_top10_obs,,,0.892,0.744,0.891,0.86,0.801,0.875,0.888,0.842
ARGO_top10_weighted2_obs,,,0.903,0.759,0.911,0.876,0.79,0.888,0.907,0.858
GFT,,,0.915,0.775,0.898,,,0.873,0.873,0.863
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.46,0.213,0.29,0.201,0.32,0.272,0.295,0.321
ARGO,,,0.443,0.226,0.276,0.196,0.275,0.266,0.295,0.315
ARGO_top10,,,0.429,0.198,0.245,0.187,0.274,0.257,0.283,0.291
ARGO_all_weighted1,,,0.469,0.193,0.264,0.253,0.294,0.274,0.289,0.309
ARGO_all_weighted2,,,0.436,0.168,0.227,0.186,0.278,0.244,0.262,0.277
ARGO_all_weighted_more_ar,,,0.424,0.18,0.236,0.201,0.27,0.242,0.261,0.28
ARGO_top10_weighted1,,,0.449,0.2,0.243,0.248,0.283,0.263,0.276,0.297
ARGO_top10_weighted2,,,0.439,0.173,0.227,0.183,0.278,0.245,0.264,0.28
ARGO_top10_weighted_more_ar,,,0.414,0.181,0.236,0.198,0.269,0.24,0.257,0.277
ARGO_obs_weight,,,0.502,0.231,0.273,0.197,0.273,0.28,0.318,0.335
ARGO_top10_obs,,,0.452,0.192,0.256,0.185,0.271,0.257,0.285,0.3
ARGO_top10_weighted2_obs,,,0.411,0.175,0.223,0.179,0.279,0.237,0.251,0.269
GFT,,,0.511,0.197,0.299,,,0.313,0.313,0.336
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.666,0.685,0.584,0.316,0.338,0.587,0.757,0.645
ARGO,,,0.651,0.774,1.042,0.324,0.286,0.786,1.107,0.822
ARGO_top10,,,0.601,0.75,1.026,0.303,0.287,0.763,1.07,0.792
ARGO_all_weighted1,,,0.499,0.832,1.192,0.423,0.271,0.702,0.921,0.841
ARGO_all_weighted2,,,0.471,0.547,0.826,0.32,0.294,0.539,0.674,0.614
ARGO_all_weighted_more_ar,,,0.449,0.607,0.857,0.358,0.277,0.545,0.683,0.637
ARGO_top10_weighted1,,,0.496,0.875,1.153,0.398,0.283,0.673,0.881,0.841
ARGO_top10_weighted2,,,0.508,0.564,0.844,0.298,0.294,0.544,0.689,0.639
ARGO_top10_weighted_more_ar,,,0.452,0.619,0.876,0.333,0.275,0.543,0.687,0.649
ARGO_obs_weight,,,0.824,0.782,0.979,0.343,0.285,0.812,1.15,0.862
ARGO_top10_obs,,,0.596,0.648,1.024,0.303,0.287,0.738,1.029,0.756
ARGO_top10_weighted2_obs,,,0.473,0.524,0.826,0.302,0.297,0.53,0.664,0.607
GFT,,,0.624,0.388,0.616,,,0.618,0.618,0.542
