Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.974,0.929,0.96,,,0.815,0.815,0.954
AR52,,,0.907,0.913,0.934,0.626,,0.932,0.944,0.918
ARGO,,,0.95,0.97,0.984,0.837,,0.958,0.964,0.968
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.959,0.474,1.045,,,1.076,1.076,1.159
AR52,,,0.625,0.454,0.777,0.536,,0.514,0.521,0.619
ARGO,,,0.67,0.359,0.457,0.459,,0.421,0.422,0.495
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.279,0.249,0.307,,,0.674,0.674,0.612
AR52,,,0.263,0.255,0.205,0.249,,0.27,0.281,0.241
ARGO,,,0.287,0.222,0.182,0.2,,0.261,0.281,0.231
